_Flash_DisableLocalSecurity                   00000000000015B0        
_Flash_EnforceLocalSecurity                   00000000000015E0        
_register_ShockwaveFlash                      0000000000001610        
_unregister_ShockwaveFlash                    0000000000001640        
_FlashPlayer_11_5_502_146_FlashPlayer         0000000000001660        
_native_ShockwaveFlash_CurrentFrame           0000000000001670        
_native_ShockwaveFlash_FlashVersion           00000000000016A0        
_native_ShockwaveFlash_FrameLoaded            00000000000016D0        
_native_ShockwaveFlash_GetVariable            0000000000001700        
_native_ShockwaveFlash_GotoFrame              0000000000001730        
_native_ShockwaveFlash_IsPlaying              0000000000001750        
_native_ShockwaveFlash_LoadMovie              0000000000001780        
_native_ShockwaveFlash_Pan                    00000000000017A0        
_native_ShockwaveFlash_PercentLoaded          00000000000017C0        
_native_ShockwaveFlash_Play                   00000000000017F0        
_native_ShockwaveFlash_SetVariable            0000000000001810        
_native_ShockwaveFlash_SetZoomRect            0000000000001830        
_native_ShockwaveFlash_StopPlay               0000000000001850        
_native_ShockwaveFlash_TCallFrame             0000000000001870        
_native_ShockwaveFlash_TCallLabel             0000000000001890        
_native_ShockwaveFlash_TCurrentFrame          00000000000018B0        
_native_ShockwaveFlash_TCurrentLabel          00000000000018E0        
_native_ShockwaveFlash_TGetProperty           0000000000001910        
_native_ShockwaveFlash_TGotoFrame             0000000000001940        
_native_ShockwaveFlash_TGotoLabel             0000000000001960        
_native_ShockwaveFlash_TPlay                  0000000000001980        
_native_ShockwaveFlash_TSetProperty           00000000000019A0        
_native_ShockwaveFlash_TStopPlay              00000000000019C0        
_native_ShockwaveFlash_TotalFrames            00000000000019E0        
_native_ShockwaveFlash_Zoom                   0000000000001A10        
_NP_Shutdown                                  0000000000001B50        
_NP_Acrobat_GetEntryPoints                    0000000000001BC0        
_NP_GetEntryPoints                            0000000000001BD0        
_main                                         0000000000002590        
_NP_Acrobat_Initialize                        00000000000025E0        
_NP_Initialize                                0000000000002630        
_use_ShockwaveFlash                           0000000000002690        
_unuse_ShockwaveFlash                         0000000000002E00        
_use_netscape_plugin_Plugin                   0000000000003020        
_unuse_netscape_plugin_Plugin                 0000000000003230        
_Java_ShockwaveFlash_TCallLabel_stub          00000000000032E0        
_Java_ShockwaveFlash_TCallFrame_stub          0000000000003310        
_Java_ShockwaveFlash_TGetProperty_stub        0000000000003340        
_Java_ShockwaveFlash_TSetProperty_stub        0000000000003380        
_Java_ShockwaveFlash_GetVariable_stub         00000000000033B0        
_Java_ShockwaveFlash_SetVariable_stub         00000000000033F0        
_Java_ShockwaveFlash_TStopPlay_stub           0000000000003420        
_Java_ShockwaveFlash_TPlay_stub               0000000000003450        
_Java_ShockwaveFlash_TCurrentLabel_stub       0000000000003480        
_Java_ShockwaveFlash_TCurrentFrame_stub       00000000000034C0        
_Java_ShockwaveFlash_TGotoLabel_stub          0000000000003500        
_Java_ShockwaveFlash_TGotoFrame_stub          0000000000003530        
_Java_ShockwaveFlash_LoadMovie_stub           0000000000003560        
_Java_ShockwaveFlash_SetZoomRect_stub         0000000000003590        
_Java_ShockwaveFlash_Zoom_stub                00000000000035D0        
_Java_ShockwaveFlash_Pan_stub                 0000000000003600        
_Java_ShockwaveFlash_FlashVersion_stub        0000000000003630        
_Java_ShockwaveFlash_FrameLoaded_stub         0000000000003660        
_Java_ShockwaveFlash_PercentLoaded_stub       00000000000036A0        
_Java_ShockwaveFlash_GotoFrame_stub           00000000000036D0        
_Java_ShockwaveFlash_CurrentFrame_stub        0000000000003700        
_Java_ShockwaveFlash_TotalFrames_stub         0000000000003730        
_Java_ShockwaveFlash_StopPlay_stub            0000000000003760        
_Java_ShockwaveFlash_Play_stub                0000000000003790        
_Java_ShockwaveFlash_IsPlaying_stub           00000000000037C0        
_fieldID_ShockwaveFlash_panModePixels         0000000000005100        
_fieldID_ShockwaveFlash_panModePercent        0000000000005108        
_fieldID_ShockwaveFlash_title                 0000000000005110        
_fieldID_ShockwaveFlash_location              0000000000005118        
_methodID_ShockwaveFlash_new                  0000000000005120        
_methodID_ShockwaveFlash_IsPlaying            0000000000005128        
_methodID_ShockwaveFlash_Play                 0000000000005130        
_methodID_ShockwaveFlash_StopPlay             0000000000005138        
_methodID_ShockwaveFlash_TotalFrames          0000000000005140        
_methodID_ShockwaveFlash_CurrentFrame         0000000000005148        
_methodID_ShockwaveFlash_GotoFrame            0000000000005150        
_methodID_ShockwaveFlash_Rewind               0000000000005158        
_methodID_ShockwaveFlash_Back                 0000000000005160        
_methodID_ShockwaveFlash_Forward              0000000000005168        
_methodID_ShockwaveFlash_PercentLoaded        0000000000005170        
_methodID_ShockwaveFlash_FrameLoaded          0000000000005178        
_methodID_ShockwaveFlash_FlashVersion         0000000000005180        
_methodID_ShockwaveFlash_Pan                  0000000000005188        
_methodID_ShockwaveFlash_Zoom                 0000000000005190        
_methodID_ShockwaveFlash_SetZoomRect          0000000000005198        
_methodID_ShockwaveFlash_FSCommand            00000000000051A0        
_methodID_ShockwaveFlash_BrowserBackForward   00000000000051A8        
_methodID_ShockwaveFlash_PutLocationURL       00000000000051B0        
_methodID_ShockwaveFlash_PutDocumentTitle     00000000000051B8        
_methodID_ShockwaveFlash_GetDocumentTitle     00000000000051C0        
_methodID_ShockwaveFlash_GetLocationURL       00000000000051C8        
_methodID_ShockwaveFlash_LoadMovie            00000000000051D0        
_methodID_ShockwaveFlash_TGotoFrame           00000000000051D8        
_methodID_ShockwaveFlash_TGotoLabel           00000000000051E0        
_methodID_ShockwaveFlash_TCurrentFrame        00000000000051E8        
_methodID_ShockwaveFlash_TCurrentLabel        00000000000051F0        
_methodID_ShockwaveFlash_TPlay                00000000000051F8        
_methodID_ShockwaveFlash_TStopPlay            0000000000005200        
_methodID_ShockwaveFlash_SetVariable          0000000000005208        
_methodID_ShockwaveFlash_GetVariable          0000000000005210        
_methodID_ShockwaveFlash_TSetProperty         0000000000005218        
_methodID_ShockwaveFlash_TGetProperty         0000000000005220        
_methodID_ShockwaveFlash_TCallFrame           0000000000005228        
_methodID_ShockwaveFlash_TCallLabel           0000000000005230        
_methodID_ShockwaveFlash_TGetPropertyAsNumber 0000000000005238        
_methodID_ShockwaveFlash_TSetProperty_1       0000000000005240        
_fieldID_netscape_plugin_Plugin_peer          0000000000005248        
_fieldID_netscape_plugin_Plugin_window        0000000000005250        
_methodID_netscape_plugin_Plugin_getPeer      0000000000005258        
_methodID_netscape_plugin_Plugin_init         0000000000005260        
_methodID_netscape_plugin_Plugin_destroy      0000000000005268        
_methodID_netscape_plugin_Plugin_isActive     0000000000005270        
